,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
1-17/64,,1-21/64,,1-17/64,,1-21/64,,1-17/64,,1-21/64,,1-17/64,,1-21/64,,,1-17/64,,1-21/64,,1-17/64,,1-21/64,,1-17/64,,1-21/64,
1-9/32,,1-9/64,,1-9/32,,1-9/64,,1-9/32,,1-9/64,,1-9/32,,1-9/64,,,1-9/32,,1-9/64,,1-9/32,,1-9/64,,1-9/32,,1-9/64,
1-19/64,,1-5/32,,1-19/64,,1-5/32,,1-19/64,,1-5/32,,1-19/64,,1-5/32,,,1-19/64,,1-5/32,,1-19/64,,1-5/32,,1-19/64,,1-5/32,
1-5/16,,1-11/64,,1-5/16,,1-11/64,,1-5/16,,1-11/64,,1-5/16,,1-11/64,,,1-5/16,,1-11/64,,1-5/16,,1-11/64,,1-5/16,,1-11/64,
1-21/64,,1-3/16,,1-21/64,,1-3/16,,1-21/64,,1-3/16,,1-21/64,,1-3/16,,,1-21/64,,1-3/16,,1-21/64,,1-3/16,,1-21/64,,1-3/16,
1-9/64,,1-13/64,,1-9/64,,1-13/64,,1-9/64,,1-13/64,,1-9/64,,1-13/64,,,1-9/64,,1-13/64,,1-9/64,,1-13/64,,1-9/64,,1-13/64,
1-5/32,,1-7/32,,1-5/32,,1-7/32,,1-5/32,,1-7/32,,1-5/32,,1-7/32,,,1-5/32,,1-7/32,,1-5/32,,1-7/32,,1-5/32,,1-7/32,
1-11/64,,,,1-11/64,,,,1-11/64,,,,1-11/64,,,,,1-11/64,,,,1-11/64,,,,1-11/64,,,
1-3/16,,,,1-3/16,,,,1-3/16,,,,1-3/16,,,,,1-3/16,,,,1-3/16,,,,1-3/16,,,
1-13/64,,,,1-13/64,,,,1-13/64,,,,1-13/64,,,,,1-13/64,,,,1-13/64,,,,1-13/64,,,
1-7/32,,,,1-7/32,,,,1-7/32,,,,1-7/32,,,,,1-7/32,,,,1-7/32,,,,1-7/32,,,
