5/31/2026,6/7/2026,6/14/2026,6/21/2026,6/28/2026,7/5/2026,7/12/2026,7/19/2026,7/26/2026,8/2/2026,8/9/2026,8/16/2026,8/23/2026,8/30/2026,9/6/2026,9/13/2026,9/20/2026
1-33/64,45/64,63/64,7/16,1-33/64,45/64,63/64,7/16,1-33/64,45/64,63/64,7/16,1-33/64,45/64,63/64,7/16,1-33/64
1-17/32,18MM,,7/8,1-17/32,18MM,,7/8,1-17/32,18MM,,7/8,1-17/32,18MM,,7/8,1-17/32
1-35/64,9/16,,9/16,1-35/64,9/16,,9/16,1-35/64,9/16,,9/16,1-35/64,9/16,,9/16,1-35/64
1-9/16,29/64,,1,1-9/16,29/64,,1,1-9/16,29/64,,1,1-9/16,29/64,,1,1-9/16
1-15/64,23/64,,1-1/64,1-15/64,23/64,,1-1/64,1-15/64,23/64,,1-1/64,1-15/64,23/64,,1-1/64,1-15/64
1-1/4,1,,1-1/32,1-1/4,1,,1-1/32,1-1/4,1,,1-1/32,1-1/4,1,,1-1/32,1-1/4
1-17/64,1-1/16,,1-3/64,1-17/64,1-1/16,,1-3/64,1-17/64,1-1/16,,1-3/64,1-17/64,1-1/16,,1-3/64,1-17/64
1-9/32,,,1-1/16,1-9/32,,,1-1/16,1-9/32,,,1-1/16,1-9/32,,,1-1/16,1-9/32
1-19/64,,,27MM,1-19/64,,,27MM,1-19/64,,,27MM,1-19/64,,,27MM,1-19/64
1-5/16,,,,1-5/16,,,,1-5/16,,,,1-5/16,,,,1-5/16
